,Hotel,Harga,Rating,Link
57,Moscha Hotel,Rp 249 rb,"4,4",https://www.google.com/maps/place/Moscha+Hotel/data=!4m10!3m9!1s0x2dd7fbdc97ad39ed:0xf0e6ce544279dad7!5m2!4m1!1i2!8m2!3d-7.275575!4d112.744227!16s%2Fg%2F11cn5qwhny!19sChIJ7Tmtl9z71y0R19p5QlTO5vA?authuser=0&hl=id&rclk=1
58,Kencana Residence Surabaya,Rp 166 rb,"4,6",https://www.google.com/maps/place/Kencana+Residence+Surabaya/data=!4m10!3m9!1s0x2dd7fb634b164433:0x34cf0b99d9b695f7!5m2!4m1!1i2!8m2!3d-7.2958216!4d112.7194175!16s%2Fg%2F11g4c1hjk8!19sChIJM0QWS2P71y0R95W22ZkLzzQ?authuser=0&hl=id&rclk=1
59,Core Hotel Bonnet Surabaya,Rp 363 rb,"4,4",https://www.google.com/maps/place/Core+Hotel+Bonnet+Surabaya/data=!4m10!3m9!1s0x2dd7fa330589db43:0xcea7d3829fdb17ee!5m2!4m1!1i2!8m2!3d-7.279078!4d112.7652749!16s%2Fg%2F11b8_84cp1!19sChIJQ9uJBTP61y0R7hfbn4LTp84?authuser=0&hl=id&rclk=1
60,GreenHaus Inn,Rp 339 rb,"4,6",https://www.google.com/maps/place/GreenHaus+Inn/data=!4m10!3m9!1s0x2dd7fbc6d7ff6413:0xe7244c2988301cdf!5m2!4m1!1i2!8m2!3d-7.284359!4d112.74575!16s%2Fg%2F11j8vmkzwk!19sChIJE2T_18b71y0R3xwwiClMJOc?authuser=0&hl=id&rclk=1
61,Emerald Hotel Surabaya,Rp 210 rb,"4,2",https://www.google.com/maps/place/Emerald+Hotel+Surabaya/data=!4m10!3m9!1s0x2dd7f96f4551f0b5:0xcd1601dc381eaa4e!5m2!4m1!1i2!8m2!3d-7.2561707!4d112.7462997!16s%2Fg%2F11b6d627xf!19sChIJtfBRRW_51y0RTqoeONwBFs0?authuser=0&hl=id&rclk=1
62,Crown Prince Hotel Surabaya City Center,Rp 455 rb,"4,4",https://www.google.com/maps/place/Crown+Prince+Hotel+Surabaya+City+Center/data=!4m10!3m9!1s0x2dd7fbde62b5ae59:0x19da9cd06e782a63!5m2!4m1!1i2!8m2!3d-7.2714521!4d112.7418917!16s%2Fg%2F11g30_6_cv!19sChIJWa61Yt771y0RYyp4btCc2hk?authuser=0&hl=id&rclk=1
63,Royal Tulip Darmo Surabaya,Rp 783 rb,"4,7",https://www.google.com/maps/place/Royal+Tulip+Darmo+Surabaya/data=!4m10!3m9!1s0x2dd7fb3338abd247:0x91274e66f920a4b6!5m2!4m1!1i2!8m2!3d-7.2862435!4d112.7384134!16s%2Fg%2F11qn7ns2cp!19sChIJR9KrODP71y0RtqQg-WZOJ5E?authuser=0&hl=id&rclk=1
64,Narita Hotel Surabaya,Rp 336 rb,"4,4",https://www.google.com/maps/place/Narita+Hotel+Surabaya/data=!4m10!3m9!1s0x2dd7fbaa9282b0c3:0x574c126aba99a3a9!5m2!4m1!1i2!8m2!3d-7.3049229!4d112.7605456!16s%2Fg%2F1vnn3q_0!19sChIJw7CCkqr71y0RqaOZumoSTFc?authuser=0&hl=id&rclk=1
65,Hotel Bisanta Bidakara Tunjungan,Rp 228 rb,"4,2",https://www.google.com/maps/place/Hotel+Bisanta+Bidakara+Tunjungan/data=!4m10!3m9!1s0x2dd7fbe029e1fc73:0x424a0636ec9237ae!5m2!4m1!1i2!8m2!3d-7.2672186!4d112.7368011!16s%2Fg%2F1td6_dty!19sChIJc_zhKeD71y0RrjeS7DYGSkI?authuser=0&hl=id&rclk=1
66,Hotel Santika Pandegiling Surabaya,Rp 444 rb,"4,4",https://www.google.com/maps/place/Hotel+Santika+Pandegiling+Surabaya/data=!4m10!3m9!1s0x2dd7fbc2ca07ff2f:0xd5f66a2c8b61c6c2!5m2!4m1!1i2!8m2!3d-7.277608!4d112.7402242!16s%2Fg%2F1tnmc1dy!19sChIJL_8HysL71y0RwsZhiyxq9tU?authuser=0&hl=id&rclk=1
